show_id,name,type,language,genres,status,runtime,average_runtime,premiered,ended,official_site,rating_average,network_name,country_name,country_code,summary,premiere_year,premiere_month,is_ended,show_age,genre_count,summary_word_count,summary_character_count,sentence_count,average_sentence_length,average_word_length,summary_keywords,sentiment_score,sentiment_label,summary_topic,episode_count,episode_count_category,rating_category,content_cluster,pca_component_1,pca_component_2
11,Gotham,Scripted,English,"Drama, Action, Crime",Ended,60.0,60.0,2014-09-22,2019-04-25,http://www.fox.com/gotham,7.7,FOX,United States,US,"The good. The evil. The beginning.Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?Gotham is an origin story of the great DC Comics Super-Villains and vigilantes, revealing an entirely new chapter that has never been told. It follows one cop's rise through a dangerously corrupt city teetering between good and evil, and chronicles the birth of one of the most popular super heroes of our time.",2014,9,True,12,3,144,885,10,14.6,4.68,"good, world, villains, evil, city",0.19131313131313127,Positive,3,100,Long,High,2,2.0298386764242102,-0.3679264777950137
12,Lost Girl,Scripted,English,"Drama, Fantasy, Horror",Ended,60.0,60.0,2010-09-12,2015-10-25,http://www.showcase.ca/lostgirl,7.9,Showcase,Canada,CA,"Lost Girl follows supernatural seductress Bo, a Succubus who feeds on the sexual energy of humans. Growing up with human parents, Bo had no reason to believe she was anything other than the girl next door — until she drained her boyfriend to death in their first sexual encounter. Now she has hit the road alone and afraid.  She discovers she is one of the Fae, creatures of legend and folklore, who pass as humans while feeding off them secretly and in different ways, as they have for millennia. Relieved yet horrified to find out that she is not alone, Bo decides to take the middle path between the humans and the Fae while embarking on a personal mission to unlock the secrets of her origin.With the help of her human sidekick, Kenzi, and Dyson, a sexy police detective, Bo takes on a challenge every week helping a Fae or human client who comes to her to solve a mystery, or to right a wrong.",2010,9,True,16,3,165,898,6,27.67,4.33,"humans, human, girl, alone, sexual",0.03396358543417365,Neutral,2,77,Long,High,2,2.226276124094545,-0.450338491635576
13,The Flash,Scripted,English,"Drama, Action, Science-Fiction",Ended,60.0,60.0,2014-10-07,2023-05-24,http://www.cwtv.com/shows/the-flash/,7.5,The CW,United States,US,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only ""meta-human"" who was created in the wake of the accelerator explosion -- and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become...The Flash!",2014,10,True,12,3,130,757,10,13.4,4.48,"barry, powers, accelerator, allen, explosion",0.07729978354978355,Positive,4,184,Long,High,2,1.6002608978898152,-0.10272750328343298
14,Continuum,Scripted,English,"Drama, Crime, Science-Fiction",Ended,60.0,60.0,2012-05-27,2015-10-09,Not Available,8.0,Showcase,Canada,CA,"Continuum centers on the conflict between a group of rebels from the year 2077 who time-travel to Vancouver, BC, in 2012, and a police officer who accidentally accompanies them. In spite of being many years early, the rebel group decides to continue its violent campaign to stop corporations of the future from replacing governments, while the police officer endeavours to stop them without revealing to anyone that she and the rebels are from the future.",2012,5,True,14,3,75,455,2,37.5,4.93,"officer, group, rebels, stop, future",-0.040000000000000015,Neutral,3,42,Medium,High,2,0.5634435522951662,0.7780895413652296
15,Constantine,Scripted,English,"Drama, Action, Horror",Ended,60.0,60.0,2014-10-24,2015-02-13,https://www.nbc.com/constantine,7.5,NBC,United States,US,"Based on the wildly popular comic book series ""Hellblazer"" from DC Comics, seasoned demon hunter and master of the occult John Constantine is armed with a ferocious knowledge of the dark arts and a wickedly naughty wit. He fights the good fight - or at least he did. With his soul already damned to hell, he's decided to abandon his campaign against evil until a series of events thrusts him back into the fray, and he'll do whatever it takes to protect the innocent. With the balance of good and evil on the line‎, Constantine will use his skills to travel the country, find the supernatural terrors that threaten our world and send them back where they belong. After that, who knows... maybe there's hope for him and his soul after all.",2014,10,True,12,3,132,738,6,22.0,4.37,"evil, soul, series, back, good",0.040476190476190464,Neutral,1,13,Medium,High,2,1.6745271589897885,-0.14552976615790902
16,Penny Dreadful,Scripted,English,"Horror, Thriller, Supernatural",Ended,60.0,60.0,2014-05-11,2016-06-19,http://www.sho.com/penny-dreadful,8.2,Paramount+ with Showtime,United States,US,"Some of literature's most terrifying characters, including Dr. Frankenstein and his monster, Dorian Gray, and iconic figures from the novel Dracula are lurking in the darkest corners of Victorian London. They are joined by a core of original characters in a complex, frightening new narrative. Penny Dreadful is a psychological thriller filled with dark mystery and suspense, where personal demons from the past can be stronger than vampires, evil spirits and immortal beasts.",2014,5,True,12,3,73,476,4,18.25,5.31,"characters, literature, suspense, penny, dreadful",-0.16347402597402597,Negative,2,27,Medium,High,2,0.6385281752525038,0.7580555608650098
18,The Amazing Race,Reality,English,"Action, Adventure, Family",Running,90.0,65.0,2001-09-05,,http://www.cbs.com/shows/amazing_race/,6.8,CBS,United States,US,"From athletes and actors to tattoo artists, social workers and musicians - a diverse mix of teams will need to utilize their street smarts and savvy know-how to compete in the race of their lifetime.",2001,9,False,25,3,35,199,1,35.0,4.6,"athletes, actors, race, compete, know",0.03333333333333333,Neutral,3,457,Very Long,Medium,1,-0.021161391575576147,2.647646634239422
19,Supernatural,Scripted,English,"Drama, Action, Supernatural",Ended,60.0,60.0,2005-09-13,2020-11-19,http://www.cwtv.com/shows/supernatural,8.4,The CW,United States,US,"This haunting series follows the Winchester brothers as they crisscross the lonely and mysterious back roads of the country in their '67 Chevy Impala, hunting down every evil supernatural force they encounter along the way.",2005,9,True,21,3,35,223,1,35.0,5.41,"haunting, series, encounter, force, supernatural",-0.18148148148148147,Negative,1,327,Very Long,High,2,-0.5083874340712312,1.6563199120741496
20,The Strain,Scripted,English,"Drama, Horror, Thriller",Ended,60.0,61.0,2014-07-13,2017-09-17,http://www.fxnetworks.com/thestrain,7.5,FX,United States,US,"The Strain is a high-concept thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Goodweather, his team, and an assembly of everyday New Yorkers wage war for the fate of humanity itself.",2014,7,True,12,3,73,421,4,18.25,4.59,"strain, team, goodweather, vampirism, viral",-0.17121212121212123,Negative,2,46,Medium,High,2,0.5036785937129578,0.7545315668735523
21,The Last Ship,Scripted,English,"Drama, Action, Thriller",Ended,60.0,60.0,2014-06-22,2018-11-11,http://www.tntdrama.com/shows/the-last-ship,7.6,TNT,United States,US,"Their mission is simple: Find a cure. Stop the virus. Save the world. When a global pandemic wipes out eighty percent of the planet's population, the crew of a lone and unaffected Navy destroyer, the USS Nathan James, must find a way to pull humanity from the brink of extinction.",2014,6,True,12,3,50,280,4,12.5,4.35,"find, mission, population, brink, humanity",-0.016666666666666666,Neutral,3,56,Long,High,2,-0.0069244669230701566,1.0996971069827663
22,True Blood,Scripted,English,"Drama, Romance, Supernatural",Ended,60.0,60.0,2008-09-07,2014-08-24,http://www.hbo.com/true-blood,7.9,HBO,United States,US,"True Blood is a horror/drama based on a series of novels called The Southern American Vampires Mysteries. It focuses on Sookie Stackhouse and her various encounters with vampires and other supernatural beings. The show is centred in the small town of Bon Temps in Louisiana. The show focuses heavily on the co-existence of humans with vampires. The show also touches on several other controversial issues involving equal rights, violence, discrimination and religion.",2008,9,True,18,3,72,467,5,14.4,5.23,"show, vampires, focuses, discrimination, violence",0.030555555555555555,Neutral,1,80,Long,High,2,0.45283014497098,0.8527373495096707
23,Once Upon a Time in Wonderland,Scripted,English,"Drama, Adventure, Fantasy",Ended,60.0,60.0,2013-10-10,2014-04-03,Not Available,6.8,ABC,United States,US,"In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole. An invisible cat, a hookah smoking caterpillar and playing-cards that talk are just some of the fantastic things she's seen during this impossible adventure. Surely this troubled girl must be insane, and her doctors aim to cure her with a treatment that will make her forget everything. Alice seems ready to put it all behind her, especially the painful memory of the genie she fell in love with and lost forever -- the handsome and mysterious Cyrus . But deep down Alice knows this world is real, and just in the nick of time the sardonic Knave of Hearts and the irrepressible White Rabbit arrive to save her from a doomed fate. Together the trio will take a tumble down the rabbit hole to this Wonderland where nothing is impossible.",2013,10,True,13,3,156,870,6,25.83,4.49,"rabbit, alice, impossible, hole, victorian",-0.04491655687307861,Neutral,3,13,Medium,Medium,1,2.088665414770302,-0.5915860959197436
24,Hawaii Five-0,Scripted,English,"Drama, Action, Crime",Ended,60.0,60.0,2010-09-20,2020-04-03,http://www.cbs.com/shows/hawaii_five_0/,7.7,CBS,United States,US,"Hawaii Five-0 is a contemporary take on the classic series about a new elite federalized task force whose mission is to wipe out the crime that washes up on the Islands' sun-drenched beaches. Detective Steve McGarrett, a decorated Naval officer-turned-cop, returned to Oahu to investigate his father's murder and stayed after Hawaii's former governor persuaded him to head up the new team: his rules, no red tape and full blanket authority to hunt down the biggest ""game"" in town. Joining McGarrett is Detective Danny ""Danno"" Williams, a relocated ex-New Jersey cop - a working man in paradise who prefers skyscrapers to the coastline - but who's committed to keeping the Islands safe for his young daughter; Chin Ho Kelly, an ex-Honolulu police detective and former protégé of McGarrett's father who was wrongly accused of corruption; Dr. Max Bergman, the quirky coroner; Chin's cousin, Kono Kalakaua, a beautiful and fearless native; and Captain Lou Grover, who formerly headed Hawaii's SWAT unit. Joining them is Jerry Ortega, a former classmate of Chin's and the Island's local conspiracy theorist. The state's brash FIVE-0 unit, who may spar and jest among themselves, remain determined to eliminate the seedy elements from the 50th state.",2010,9,True,16,3,199,1244,6,33.17,4.72,"hawaii, chin, former, mcgarrett, detective",0.06055289739500266,Positive,2,240,Very Long,High,2,3.094601874410328,-1.1365414405303262
25,Hellsing,Animation,Japanese,"Anime, Horror, Supernatural",Ended,30.0,30.0,2001-10-10,2002-01-16,Not Available,7.3,Fuji TV,Japan,JP,Hellsing is a 13-part anime based on the manga of the same name. The plot is significantly difficult to that of the the manga although the characters are the same. The show mainly focuses on the hellsing institute that houses the anti-hero named Alucard who swore loyalty to the Helsing family many years before. Alucard being the first ever vampire takes on a new apprentice named Sera's.,2001,10,True,25,3,67,389,4,16.75,4.55,"hellsing, manga, alucard, named, hero",0.079004329004329,Positive,0,13,Medium,High,0,-1.2456888978729286,-0.8735052307983128
26,Hellsing Ultimate,Animation,Japanese,"Drama, Action, Anime, Horror",Ended,50.0,50.0,2006-02-10,2012-12-26,Not Available,7.3,TBS,Japan,JP,"Hellsing Ultimate, unlike the 13-part Hellsing series, follows the manga of the same name very closely. Alucard being the main protagonist and anti-hero/vampire. Hellsing Ultimate is a 10-part series of OVAs whereby Alucard turns Sera's into a vampire. The main focus of the plot being on an enemy neo-nazi group.",2006,2,True,20,4,50,313,4,12.5,4.59,"hellsing, part, series, alucard, main",0.08888888888888889,Positive,1,10,Short,High,2,-0.3919101139488563,0.6924372198136753
27,Berserk,Animation,Japanese,"Anime, Fantasy, Horror",Ended,25.0,25.0,1997-10-07,1998-03-31,Not Available,8.0,NTV,Japan,JP,Berserk is a 25-part anime set in a dark fantasy/horror environment whereby the series focuses on the main character guts; a lone swordman who later meets up with a group of mercenaries called the band of the hawk. The leader of this band holds a strange necklace called a behelit that will only lead to evil.,1997,10,True,29,3,56,309,2,28.0,4.33,"band, called, berserk, later, lead",-0.17222222222222225,Negative,1,25,Medium,High,0,-1.7580647652224084,-0.8136840061838636
28,Californication,Scripted,English,"Drama, Comedy",Ended,30.0,30.0,2007-08-13,2014-06-29,http://www.sho.com/sho/californication/home,7.8,Paramount+ with Showtime,United States,US,Californication is a series based around the writer Hank Moody. He moves to California and suffers a writers block as well as many other family and personal issues. His drinking and generally unhealthy lifestyle interrupts his relationships with his long term lover Karen and his daughter Becca as he struggles with his manager Charlie Runkle.,2007,8,True,19,2,55,343,3,18.33,5.2,"californication, drinking, charlie, manager, struggles",-0.1125,Negative,1,84,Long,High,0,-1.5008559831204755,-0.9072809082982848
29,Vikings,Scripted,English,"Drama, Action, History",Ended,60.0,60.0,2013-03-03,2021-03-05,https://www.history.ca/shows/vikings/,8.6,History,Canada,CA,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",2013,3,True,13,3,31,176,1,31.0,4.9,"vikings, farmer, across, shores, distant",-0.325,Negative,3,89,Long,High,2,-0.3505797449089159,1.5643913445245203
30,American Horror Story,Scripted,English,"Drama, Horror, Thriller",Running,60.0,61.0,2011-10-05,,http://www.fxnetworks.com/shows/american-horror-story,7.5,FX,United States,US,"American Horror Story is an horror television anthology series. Each season is conceived as a self-contained miniseries, following a disparate set of characters and settings, and a storyline with its own beginning, middle, and end. While some actors appear for more than one year, they play completely different roles in each season.",2011,10,False,15,3,52,333,3,17.33,5.15,"season, horror, american, settings, different",0.18333333333333335,Positive,1,132,Long,High,2,0.029525524449929015,1.1080106608110407
31,Marvel's Agents of S.H.I.E.L.D.,Scripted,English,"Action, Adventure, Science-Fiction",Ended,60.0,60.0,2013-09-24,2020-08-12,http://abc.go.com/shows/marvels-agents-of-shield,8.0,ABC,United States,US,"Phil Coulson heads an elite team of fellow agents with the worldwide law-enforcement organization known as S.H.I.E.L.D. (Strategic Homeland Intervention Enforcement and Logistics Division), as they investigate strange occurrences around the globe. Its members -- each of whom brings a specialty to the group -- work with Coulson to protect those who cannot protect themselves from extraordinary and inconceivable threats.",2013,9,True,13,3,60,421,8,8.12,5.41,"protect, enforcement, coulson, phil, strange",0.14166666666666666,Positive,2,136,Long,High,2,0.3167823180274069,0.9475955922949485
32,Fargo,Scripted,English,"Drama, Comedy, Crime",To Be Determined,60.0,67.0,2014-04-15,,http://www.fxnetworks.com/fargo,8.7,FX,United States,US,"Fargo is a seasonal anthology crime drama with some dark comical elements, inspired by the film Fargo written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring classic.",2014,4,False,12,3,49,293,2,24.5,4.86,"fargo, film, follows, enduring, made",0.23156565656565656,Positive,2,51,Long,High,2,0.2524383606000758,1.478833043464986
33,Hemlock Grove,Scripted,English,"Drama, Horror, Thriller",Ended,60.0,52.0,2013-04-19,2015-10-23,https://www.netflix.com/title/70242310,6.9,Unknown,Unknown,Unknown,"Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",2013,4,True,13,3,24,131,1,24.0,4.42,"secrets, part, daily, life, small",-0.15476190476190477,Negative,4,33,Medium,Medium,1,-0.7870549204216655,1.1437530917179162
34,Helix,Scripted,English,"Horror, Science-Fiction, Thriller",Ended,60.0,60.0,2014-01-10,2015-04-10,Not Available,6.4,Syfy,United States,US,Helix is a science fiction thriller that focuses on a CDC expedition into the arctic. They go there to investigate the potential outbreak of a disease with no idea what they are getting themselves into. They encounter an almost zombie-like threat that could threaten mankind itself whilst the operator of the facility seems to know more than what he is saying.,2014,1,True,12,3,61,360,3,20.33,4.77,"helix, almost, know, seems, facility",0.25,Positive,2,26,Medium,Medium,1,0.17576150845005997,0.7143911916235909
35,The Killing,Scripted,English,"Drama, Crime, Thriller",Ended,60.0,60.0,2011-04-03,2014-08-01,http://www.amc.com/shows/the-killing,8.2,AMC,United States,US,"The Killing follows Seattle homicide detectives Stephen Holder and Sarah Linden and their work as detectives investigating murders. Sarah Linden takes cases very seriously and has issues keeping her work and family separate, as she pairs up with recovering addict Stephen Holder to solve dark murders.",2011,4,True,15,3,46,301,2,23.0,5.5,"detectives, stephen, holder, sarah, linden",-0.2916666666666667,Negative,2,44,Medium,High,2,-0.016699077448274483,1.2480581835338531
37,Intruders,Scripted,English,"Drama, Fantasy, Thriller",Ended,60.0,60.0,2014-08-23,2014-10-11,http://www.bbc.co.uk/programmes/b04nf78f,7.1,BBC America,United States,US,"A contemporary, chilling, paranormal tale set in the moody Pacific Northwest, the series spins a fascinating and complex web of drama. As strange, apparently unrelated events start happening, multiple story-lines - a missing wife, an assassin covering his crimes, a child on the run - begin to intertwine to reveal a conspiracy that will forever change our understanding of human nature.",2014,8,True,12,3,61,387,2,30.5,5.25,"contemporary, chilling, lines, missing, wife",-0.014814814814814824,Neutral,1,8,Short,High,2,0.2841607362158092,0.7848725427154598
38,Z Nation,Scripted,English,"Action, Horror, Science-Fiction",Ended,60.0,61.0,2014-09-12,2018-12-28,http://www.syfy.com/znation,7.2,Syfy,United States,US,"Z Nation starts three years after the zombie virus has gutted the country, a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood. Although the antibodies he carries are the world's last, best hope for a vaccine, he hides a dark secret that threatens them all. With humankind's survival at stake, the ragtag band embarks on a journey of survival across three thousand miles of rusted-out post-apocalyptic America.",2014,9,True,12,3,87,523,3,29.0,4.67,"three, last, survival, nation, stake",0.04829545454545453,Neutral,3,68,Long,High,2,0.7968145123888366,0.4757341019865698
39,Resurrection,Scripted,English,"Drama, Science-Fiction, Mystery",Ended,60.0,60.0,2014-03-09,2015-01-25,Not Available,7.1,ABC,United States,US,"The people of Arcadia, Missouri are forever changed when their deceased loved ones suddenly start to reappear. An 8-year-old American boy wakes up alone in a rice paddy in a rural Chinese province with no idea how he got there. Details start to emerge when the boy, who calls himself Jacob, recalls that his hometown is Arcadia, and an Immigration agent, J. Martin Bellamy, takes him there. The home he claims as his own is occupied by a 60-year-old couple, Henry and Lucille Langston, who lost their son, Jacob, more than 30 years ago. While they look different, young Jacob recognizes them as his parents. Lucille is overjoyed at the seeming miracle of her son's reappearance. Henry is reluctant to accept that Jacob is back. Those closest to the family want answers, including Sheriff Fred Langston, whose wife Barbara drowned 30 years ago while trying to save Jacob, and Fred's daughter, Maggie, a local doctor. Pastor Tom Hale seeks a spiritual reason for what's happening in his community. When things take an even more shocking turn, Maggie's life-long friend, Elaine Richards, finds herself drawn into Arcadia's growing mystery. Bellamy, an outsider in the town, joins forces with Maggie to figure out why the unexplainable is happening in Arcadia. As their investigation plays out, Maggie learns some unsettling truths about her own past. Will they be able to solve the mystery of Arcadia before the rest of the world catches on to events there? And will they be able to protect Jacob from forces beyond their control?",2014,3,True,12,3,256,1527,15,17.07,4.65,"jacob, arcadia, maggie, bellamy, start",0.1075,Positive,3,21,Medium,High,2,4.33134895765863,-2.1689809904905175
40,Death Note,Animation,Japanese,"Anime, Fantasy, Thriller",Ended,30.0,30.0,2006-10-03,2007-06-26,http://www.j-deathnote.com/,8.8,NTV,Japan,JP,Death Note is an anime series based around a manga of the same name whereby a human finds a death god's notebook. Any person's name written in this notebook will die. The main character who finds this noteboook is Light Yagami who faces off against an unfaced character named L who tries to challenge him.,2006,10,True,20,3,55,305,3,18.33,4.32,"death, name, finds, notebook, character",0.09333333333333334,Positive,1,37,Medium,High,0,-1.3287580593085118,-0.5188644865589442
41,Last Man Standing,Scripted,English,"Comedy, Family",Ended,30.0,30.0,2011-10-11,2021-05-20,https://www.fox.com/last-man-standing/,7.8,FOX,United States,US,"Last Man Standing follows Mike Baxter, a married father of three girls, who tries to maintain his manliness, despite being surrounded by women.",2011,10,True,15,2,23,143,1,23.0,5.09,"last, standing, follows, mike, baxter",0.049999999999999996,Neutral,4,194,Long,High,0,-2.171030930007425,-0.44331402023936395
42,Sleepy Hollow,Scripted,English,"Drama, Mystery, Supernatural",Ended,60.0,60.0,2013-09-16,2017-03-31,http://www.fox.com/sleepy-hollow,7.5,FOX,United States,US,"Sleepy Hollow is a thrilling mystery-adventure drama series spanning two and a half centuries, in which a resurrected Ichabod Crane pairs up with a present-day police lieutenant to save the enigmatic town of Sleepy Hollow--and the world--from unprecedented evil.",2013,9,True,13,3,39,262,1,39.0,5.02,"sleepy, hollow, crane, unprecedented, world",-0.05277777777777778,Negative,3,62,Long,High,2,-0.1829857806917126,1.2111830171230777
43,Outlander,Scripted,English,"Adventure, Romance, Science-Fiction",Running,60.0,61.0,2014-08-09,,https://www.starz.com/us/en/series/outlander/21796,7.9,STARZ,United States,US,"Outlander follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.The Outlander series, adapted from Diana Gabaldon's international best-selling books, spans the genres of romance, science fiction, history and adventure into one epic tale.",2014,8,False,12,3,91,588,3,30.67,5.12,"outlander, claire, international, tears, heart",-3.784851220313033e-18,Neutral,3,101,Long,High,2,0.988223507076164,0.4822790052054391
